cheep	A chirp, peep, or squeak, as of a young bird or mouse.
hazel	A shrub or small tree of the genus Corylus, as the Corylus avellana, bearing a nut containing a kernel of a mild, farinaceous taste; the filbert.  The American species are Corylus Americana, which produces the common hazelnut, and Corylus rostrata.  See Filbert.
kazoo	A kind of toy or rude musical instrument, as a tube inside of which is a stretched string or membrane made to vibrate by singing or humming into the tube.
nylon	Any of several thermoplastic polyamide plastics, comprising a family of high-strength resilient synthetic materials, used mostly in fibers.
aubin	A broken gait of a horse, between an amble and a gallop; -- commonly called a Canterbury gallop.
biter	One who, or that which, bites; that which bites often, or is inclined to bite, as a dog or fish.
chard	The tender leaves or leafstalks of the artichoke, white beet, etc., blanched for table use.
khond	A Dravidian of a group of tribes of Orissa, India, a section of whom were formerly noted for their cruel human sacrifices to the earth goddess, murder of female infants, and marriage by capture.
nixie	See Nix.
orris	A sort of gold or silver lace.
pride	The quality or state of being proud; inordinate self-esteem; an unreasonable conceit of one's own superiority in talents, beauty, wealth, rank, etc., which manifests itself in lofty airs, distance, reserve, and often in contempt of others.
bolty	An edible fish of the Nile (genus Chromis).
scamp	To perform in a hasty, neglectful, or imperfect manner; to do superficially.
stile	A step, or set of steps, for ascending and descending, in passing a fence or wall.
haste	To hasten; to hurry.
peony	A plant, and its flower, of the ranunculaceous genus P<ae/onia.  Of the four or five species, one is a shrub; the rest are perennial herbs with showy flowers, often double in cultivation.
sixth	The quotient of a unit divided by six; one of six equal parts which form a whole.
scarp	The slope of the ditch nearest the parapet; the escarp.
winch	A kick, as of a beast, from impatience or uneasiness.
yacht	A light and elegantly furnished vessel, used either for private parties of pleasure, or as a vessel of state to convey distinguished persons from one place to another; a seagoing vessel used only for pleasure trips, racing, etc.
cider	The expressed juice of apples. It is used as a beverage, for making vinegar, and for other purposes.
griff	A person of mixed blood.
losel	One who loses by sloth or neglect; a worthless person; a lorel.
merus	See Meros.
ninny	A fool; a simpleton.
pampa	A plain.  See pampas.
tromp	A blowing apparatus, in which air, drawn into the upper part of a vertical tube through side holes by a stream of water within, is carried down with the water into a box or chamber below which it is led to a furnace.
aesir	In the old Norse mythology, the gods Odin, Thor, Loki, Balder, Frigg, and the others.  Their home was called Asgard.
route	The course or way which is traveled or passed, or is to be passed; a passing; a course; a road or path; a march.
trace	A mark left by anything passing; a track; a path; a course; a footprint; a vestige; as, the trace of a carriage or sled; the trace of a deer; a sinuous trace.
therm	one of several units of heat, especially one equivalent to 1000 large calories, or 100,000 British thermal units.
fecks	A corruption of the word faith.
goety	Invocation of evil spirits; witchcraft.
ganch	To drop from a high place upon sharp stakes or hooks, as the Turks dropped malefactors, by way of punishment.
pasta	Any of a variety of edible unleavened doughey preparations made from flour, eggs and water, originating in Italy, and shaped into various forms, such as solid strings (as spaghetti), hollow tubes, or layered squares (ravioli).  They may be mixed with various sauces, often having a tomato base, or filled with meat or cheese fillings.
sense	A faculty, possessed by animals, of perceiving external objects by means of impressions made upon certain organs (sensory or sense organs) of the body, or of perceiving changes in the condition of the body; as, the senses of sight, smell, hearing, taste, and touch. See Muscular sense, under Muscular, and Temperature sense, under Temperature.
tical	A bean-shaped coin of Siam, worth about sixty cents; also, a weight equal to 236 grains troy.
tinea	A name applied to various skin diseases, but especially to ringworm. See Ringworm, and Sycosis.
abort	An untimely birth.
lutra	A genus which in some classifications considered a genus of the subfamily Lutrinae.
clout	To cover with cloth, leather, or other material; to bandage; patch, or mend, with a clout.
choky	A station, as for collection of customs, for palanquin bearers, police, etc.
raiae	The order of elasmobranch fishes which includes the sawfishes, skates, and rays; -- called also Rajae, and Rajii.
teest	A tinsmith's stake, or small anvil.
citer	One who cites.
turbo	Any one of numerous marine gastropods of the genus Turbo or family Turbinidae, usually having a turbinate shell, pearly on the inside, and a calcareous operculum.
yager	In the German army, one belonging to a body of light infantry armed with rifles, resembling the chasseur of the French army.
alpha	The first letter in the Greek alphabet, answering to A, and hence used to denote the beginning.
ilama	A tropical American tree (Annona diversifolia) grown in the southern U. S. having a whitish pink-tinged fruit.
sacar	See Saker.
situs	The method in which the parts of a plant are arranged; also, the position of the parts.
spalt	Spelter.
april	The fourth month of the year.
caste	One of the hereditary classes into which the Hindu are divided according to the laws of Brahmanism.
click	A detent, pawl, or ratchet, as that which catches the cogs of a ratchet wheel to prevent backward motion. See Illust. of Ratched wheel.
ditto	The aforesaid thing; the same (as before). Often contracted to do., or to two <ldquo/turned commas<rdquo/ (<rdquo/), or small marks.  Used in bills, books of account, tables of names, etc., to save repetition.
fount	A fountain.
sider	Cider.
durio	A fruit tree (Durio zibethinus, the only species known) of the Indian Archipelago.  It bears the durian.
envoy	One dispatched upon an errand or mission; a messenger; esp., a person deputed by a sovereign or a government to negotiate a treaty, or transact other business, with a foreign sovereign or government; a minister accredited to a foreign government. An envoy's rank is below that of an ambassador.
tumor	A morbid swelling, prominence, or growth, on any part of the body; especially, a growth produced by deposition of new tissue; a neoplasm.
anury	Nonsecretion or defective secretion of urine; ischury.
favas	See Favus, n., 2.
gyrus	A convoluted ridge between grooves; a convolution; as, the gyri of the brain; the gyri of brain coral.  See Brain.
shalm	See Shawm.
argon	A colorless, odorless gas occurring in the air (of which it constitutes 0.93 per cent by volume), in volcanic gases, etc.; -- so named on account of its inertness by Rayleigh and Ramsay, who prepared and examined it in 1894-95. Symbol, A; at. wt., 39.9. Argon is condensible to a colorless liquid boiling at -186.1<deg/ C. and to a solid melting at -189.6<deg/ C. It has a characteristic spectrum. No compounds of it are known, but there is physical evidence that its molecule is monatomic. Weight of one liter at 0<deg/ C. and 760 mm., 1.7828 g.
popet	A puppet.
